feature,importance_mean,importance_std,channel,feature_type,importance_positive
C3_delta_power,0.08308621519545253,0.0012198952281896277,C3,delta_power,0.08308621519545253
C4_delta_power,0.05798611809656349,0.0007955285447987498,C4,delta_power,0.05798611809656349
F3_beta_power,0.0559338919360882,0.0019335346414018244,F3,beta_power,0.0559338919360882
O1_alpha_power,0.04562010165122639,0.002036407436676139,O1,alpha_power,0.04562010165122639
O2_delta_power,0.04386936776486574,0.0007453832921270693,O2,delta_power,0.04386936776486574
O2_alpha_power,0.04249459057910778,0.0020963593855434803,O2,alpha_power,0.04249459057910778
F4_alpha_power,0.041506691951984684,0.0012651743606911113,F4,alpha_power,0.041506691951984684
O2_theta_power,0.03577311202764129,0.0026600459397917255,O2,theta_power,0.03577311202764129
F3_alpha_power,0.03555124093968705,0.0024999367642410254,F3,alpha_power,0.03555124093968705
C3_theta_power,0.030492159212454472,0.0011243056167333462,C3,theta_power,0.030492159212454472
F3_delta_power,0.028421610460343194,0.001557859612882411,F3,delta_power,0.028421610460343194
F4_delta_power,0.027856507899254,0.001183249948617173,F4,delta_power,0.027856507899254
O1_theta_power,0.026681925353532754,0.0015365790851388493,O1,theta_power,0.026681925353532754
O1_delta_power,0.02341018471208949,0.0010671667886982354,O1,delta_power,0.02341018471208949
O2_beta_power,0.018709800913489526,0.0015387382017898947,O2,beta_power,0.018709800913489526
F3_theta_power,0.01849933353335096,0.001437511248212858,F3,theta_power,0.01849933353335096
C3_beta_power,0.016996804770863315,0.0012087103888072186,C3,beta_power,0.016996804770863315
F4_std,0.015457588401711542,0.0011373474770781853,F4,std,0.015457588401711542
F4_theta_power,0.01325156672117347,0.0010251497743055432,F4,theta_power,0.01325156672117347
F4_beta_power,0.01313871473056718,0.0008678730929032444,F4,beta_power,0.01313871473056718
C4_alpha_power,0.012466714176602967,0.0009231024825431788,C4,alpha_power,0.012466714176602967
O1_beta_power,0.011374138383509601,0.001587244817716491,O1,beta_power,0.011374138383509601
F3_std,0.010250634469277875,0.0009059542581969204,F3,std,0.010250634469277875
F4_energy,0.01016613288189192,0.0005947542219903788,F4,energy,0.01016613288189192
C3_alpha_power,0.009796789772153702,0.0011848257856401244,C3,alpha_power,0.009796789772153702
C4_std,0.008029302715342013,0.00042716160146245597,C4,std,0.008029302715342013
O2_std,0.00710109132852923,0.0014359272712499475,O2,std,0.00710109132852923
C4_theta_power,0.005532376118001614,0.000782289970121343,C4,theta_power,0.005532376118001614
C3_ptp,0.0038366661647368573,0.00044531076023503506,C3,ptp,0.0038366661647368573
C3_energy,0.0037580897192524888,0.0003157239667630424,C3,energy,0.0037580897192524888
F3_energy,0.0035191290831280363,0.0008566441471740259,F3,energy,0.0035191290831280363
O2_ptp,0.0034726299898247158,0.0008077509673526418,O2,ptp,0.0034726299898247158
F4_max,0.0034071649747488665,0.0004672083643950558,F4,max,0.0034071649747488665
F3_max,0.0032912267832033047,0.0005327863952075409,F3,max,0.0032912267832033047
C3_std,0.002997380845540665,0.0007959192707616974,C3,std,0.002997380845540665
C3_min,0.002976578774317362,0.0006398170443275326,C3,min,0.002976578774317362
C3_max,0.0026593894222259216,0.0003250280436888391,C3,max,0.0026593894222259216
C3_median,0.0025653907807483113,0.0006847439623366837,C3,median,0.0025653907807483113
O1_median,0.002439604773145887,0.0005394783223137654,O1,median,0.002439604773145887
C4_energy,0.002351753989309424,0.0007619589393721577,C4,energy,0.002351753989309424
C4_ptp,0.0021829794550108474,0.0008076776442867196,C4,ptp,0.0021829794550108474
O1_std,0.001946204513142602,0.0006352415123782074,O1,std,0.001946204513142602
O1_energy,0.0017631866874913582,0.0007823737821900678,O1,energy,0.0017631866874913582
O2_max,0.001550599265325392,0.0008520315126723481,O2,max,0.001550599265325392
O1_mean,0.0015150314675075993,0.0005070567374905979,O1,mean,0.0015150314675075993
C3_mean,0.0013866421245174675,0.00042392107365717553,C3,mean,0.0013866421245174675
O2_median,0.0013792942821748034,0.0006507135729169239,O2,median,0.0013792942821748034
F3_median,0.001324729447196238,0.000560548385662515,F3,median,0.001324729447196238
O2_min,0.0008787060088316867,0.0007017935564124306,O2,min,0.0008787060088316867
F4_min,0.0006374420039610307,0.0011363923535473467,F4,min,0.0006374420039610307
F4_mean,0.0006018550072901085,0.0007696720444861142,F4,mean,0.0006018550072901085
F3_mean,0.0005329901572303175,0.00031846920479423007,F3,mean,0.0005329901572303175
C4_min,0.00048355162081581415,0.0007439966757914533,C4,min,0.00048355162081581415
O2_mean,0.00042578971866717995,0.0006548237807971357,O2,mean,0.00042578971866717995
C4_max,0.00028425335722022106,0.0007585095842824678,C4,max,0.00028425335722022106
F4_ptp,0.0002829363095663062,0.0007309692445471986,F4,ptp,0.0002829363095663062
O1_ptp,0.0002812576518405052,0.0007656782493800024,O1,ptp,0.0002812576518405052
F4_median,3.983493061574528e-05,0.000558818646026117,F4,median,3.983493061574528e-05
O2_energy,-2.9056282160344617e-05,0.0005009167774142664,O2,energy,0.0
F3_ptp,-3.0300875086397562e-05,0.0005155630760580368,F3,ptp,0.0
C4_median,-0.00010046774209402365,0.0004698334493994446,C4,median,0.0
F3_min,-0.00014835341999464013,0.0007326582275409677,F3,min,0.0
C4_mean,-0.0003051007855852328,0.0007494441010062149,C4,mean,0.0
C4_beta_power,-0.0003655199066983306,0.0007339079402346395,C4,beta_power,0.0
O1_max,-0.0005379743888537014,0.0006581234324117047,O1,max,0.0
O1_min,-0.0005549822114867764,0.0007461562647585986,O1,min,0.0
