feature_type,importance_positive
delta_power,0.1417416024081218
alpha_power,0.10072910699080502
theta_power,0.06470590165045538
std,0.03875103160439645
beta_power,0.031630077210617134
energy,0.013145197050198195
delta_theta_ratio,0.012427548523241978
alpha_theta_ratio,0.010394455284960894
ptp,0.007983702699567274
max,0.0070328581983558625
C4_alpha_power_absdiff,0.005393408001490648
min,0.004249201012265483
median,0.003523076362027977
mean,0.0034950069512244366
C4_beta_power_absdiff,0.00328472888502603
C4_theta_power_absdiff,0.002879650001281949
F4_energy_absdiff,0.0028122087769501722
F4_delta_power_absdiff,0.002775937746399985
F4_delta_power_diff,0.0022443561434580817
O2_alpha_power_absdiff,0.002086979994262291
O2_alpha_power_diff,0.0018246528094478058
F4_mean_absdiff,0.0018000745458783458
O2_std_absdiff,0.0016086079474657196
C4_delta_power_diff,0.001549413864970724
O2_theta_power_diff,0.0014872985075679763
C4_energy_absdiff,0.001476239637098235
O2_std_diff,0.0014327641490515797
C4_mean_absdiff,0.0014071978177352025
O2_beta_power_absdiff,0.001381526196416701
C4_std_absdiff,0.0012268644207585888
C4_theta_power_diff,0.0011490580972127
F4_beta_power_absdiff,0.0010234724559427717
C4_energy_diff,0.0009583849286765403
O2_beta_power_diff,0.0009356004914879978
F4_energy_diff,0.0009271054032327456
C4_delta_power_absdiff,0.000881883806940135
F4_std_absdiff,0.0008609124820537032
O2_energy_diff,0.0008409499032763224
F4_alpha_power_absdiff,0.0007758287376287883
C4_mean_diff,0.0006960710705906648
F4_theta_power_diff,0.000645905249306263
O2_energy_absdiff,0.0005460611727263753
F4_std_diff,0.0004985633771948569
beta_alpha_ratio,0.0004184954884098868
O2_mean_diff,0.00038820301173521826
C4_alpha_power_diff,0.00035534376257373435
F4_mean_diff,0.0002963159042686329
O2_theta_power_absdiff,0.0002283448983448159
C4_std_diff,0.00017855814045419915
O2_delta_power_absdiff,0.00013763203873558746
F4_beta_power_diff,6.498691467356672e-05
C4_beta_power_diff,0.0
F4_alpha_power_diff,0.0
O2_mean_absdiff,0.0
F4_theta_power_absdiff,0.0
O2_delta_power_diff,0.0
