true_class,predicted_class,mean_confusion_rate
N1,N2,0.2473004251136469
REM,N1,0.19970676398425788
N1,REM,0.1886767981408768
N3,N2,0.16093849921359443
N1,Wake,0.15116799490908064
N2,N1,0.11902335927124641
Wake,N1,0.0959656804894135
N2,N3,0.09337488352855816
N2,REM,0.08811691254629206
REM,N2,0.07450702623700678
REM,Wake,0.058786285563911765
N2,Wake,0.03734139798510567
Wake,REM,0.0334570251910353
Wake,N2,0.02388452774139159
N3,Wake,0.014068497101735467
N3,REM,0.012010705256151942
N1,N3,0.010352490232074426
REM,N3,0.007556035218587762
Wake,N3,0.002803492970595378
N3,N1,0.0019412692113461374
